rate,FundID,FundName,avgIncrease,increaseRate
181,519068,汇添富成长焦点,0.1852,0.1078
182,070005,嘉实债券,0.0759999999999998,0.1080
182,050006,博时稳定价值,0.0492000000000001,0.1080
183,161005,富国天惠,0.2146,0.1085
184,450002,富兰克林国海弹性,0.2888,0.1092
185,160106,南方高增长,0.338,0.1114
186,090001,大成价值增长,1.0877,0.1126
187,260104,景顺长城内需,0.716,0.1130
188,050007,博时平衡配置,0.122,0.1133
189,260103,景顺动力平衡,1.5426,0.114
190,900002,中信理财2号,0.1323,0.1164
191,519018,添富均衡,0.1275,0.12
192,510080,长盛债券,0.16,0.124
193,090003,大成蓝筹稳健,0.1375,0.1245
194,519035,富国天博创新主题,0.1384,0.1257
195,485005,工银强债B,0.0739000000000001,0.1259
196,050201,博时价值贰号,1.05,0.1266
197,485105,工银强债A,0.0748,0.1271
198,160105,南方积极配置,0.1899,0.1273
199,217001,招商安泰股票,0.3455,0.1283
200,161605,融通蓝筹成长,0.278,0.1290
201,519087,新世纪优选分红,0.19,0.1297
202,510050,上证50ETF,0.659,0.1342
203,163402,兴业趋势,0.1781,0.1383
204,320003,诺安股票,0.2155,0.144
205,519008,添富优势,0.7201,0.1461
206,270002,广发稳健增长,0.2729,0.1483
207,260110,景顺长城精选蓝筹,0.161,0.1542
208,900001,中信避险共赢,0.1131,0.1547
209,070007,嘉实浦安保本,0.109,0.1595
210,161606,融通行业景气,0.936,0.1676
211,160505,博时主题行业,0.4401,0.1680
212,110003,易基50指数,0.1876,0.169
213,940001,华泰紫金1号,0.139,0.1757
214,162605,景顺鼎益,0.227,0.1819
215,270005,广发聚丰,3.7175,0.184
216,240003,宝康债券,0.0940000000000001,0.1883
217,560003,益民创新优势基金,0.1586,0.19
217,202003,南方绩优成长,0.3049,0.19
218,050008,博时第三产业,0.176,0.1947
219,200006,长城消费增值,0.3023,0.2030
220,940003,华泰紫金3号,0.2384,0.2047
221,050106,博时稳定A,0.0250000000000001,0.222
222,100020,富国天益,2.2504,0.2233
223,050004,博时精选,0.3368,0.29
224,161603,融通债券,0.0169999999999999,01
224,410001,华富竞争力,0.1999,01
224,240001,宝康消费品,0.1852,01
225,540002,汇丰晋信龙腾,0.3741,1.5860
226,166001,中欧新趋势,0.2588,02
227,070010,嘉实主题精选,0.522,03
227,020005,国泰金马稳健,0.124,03
228,630001,华商领先企业基金,0.2997,05
229,163503,天治核心,1.0507,07
